node,intermediate_visits,in_degree,out_degree
|1,0,0,485
5*6*8*9|1,7,37,21
1*5*6*8*9|1,9,107,9
2*5*6*8*9|1,0,96,10
3*5*6*8*9|1,0,47,11
4*5*6*8*9|1,4,42,24
1*4*5*6*8*9|1,0,112,10
2*4*5*6*8*9|1,1,138,12
3*4*5*6*8*9|1,0,88,6
4*7*8*9|1,0,14,37
1*4*7*8*9|1,5,40,25
2*4*7*8*9|1,15,62,50
3*4*7*8*9|1,1,43,14
5*7*8*9|1,1,20,30
3*5*7*8*9|1,0,36,13
4*5*7*8*9|1,1,45,30
1*4*5*7*8*9|1,1,61,11
2*4*5*7*8*9|1,0,111,15
3*4*5*7*8*9|1,0,79,13
4*6*7*8*9|1,0,47,18
1*4*6*7*8*9|1,9,134,12
2*4*6*7*8*9|1,2,119,13
3*4*6*7*8*9|1,0,84,9
3*5*6*7*8*9|1,0,70,11
4*5*6*7*8*9|1,1,85,13
1*4*5*6*7*8*9|1,0,155,5
2*4*5*6*7*8*9|1,0,215,7
3*4*5*6*7*8*9|1,0,153,6
10|1,0,1,334
1*10|1,3,6,116
2*10|1,12,8,145
1*2*10|1,212,50,63
3*10|1,0,3,159
4*10|1,0,3,190
1*4*10|1,2,13,76
2*4*10|1,2,11,93
1*2*4*10|1,0,21,47
3*4*10|1,0,7,89
1*5*10|1,0,9,79
3*5*10|1,1,8,90
6*10|1,0,4,179
1*6*10|1,2,14,68
2*6*10|1,4,17,79
3*6*10|1,0,8,86
4*6*10|1,0,8,97
1*4*6*10|1,0,27,41
2*4*6*10|1,2,24,47
1*2*4*6*10|1,0,37,26
3*4*6*10|1,0,16,46
1*5*6*10|1,0,17,39
2*5*6*10|1,6,26,51
3*5*6*10|1,0,16,48
7*10|1,0,3,188
1*7*10|1,14,13,67
3*7*10|1,0,6,93
4*7*10|1,0,10,86
1*4*7*10|1,4,26,41
2*4*7*10|1,0,26,43
1*2*4*7*10|1,2,51,25
3*4*7*10|1,0,18,49
5*7*10|1,9,21,80
1*5*7*10|1,23,18,81
4*5*7*10|1,77,92,32
6*7*10|1,0,7,107
1*6*7*10|1,1,24,42
3*6*7*10|1,0,13,53
4*6*7*10|1,0,19,46
1*4*6*7*10|1,0,38,23
2*4*6*7*10|1,0,49,24
1*2*4*6*7*10|1,0,74,15
3*4*6*7*10|1,0,34,28
5*6*7*10|1,0,18,45
1*5*6*7*10|1,0,34,22
2*5*6*7*10|1,8,42,51
3*5*6*7*10|1,1,32,25
4*5*6*7*10|1,6,149,17
7*8*10|1,0,6,94
4*7*8*10|1,1,14,86
2*4*7*8*10|1,0,36,43
3*4*7*8*10|1,4,25,86
4*6*7*8*10|1,12,49,47
1*4*6*7*8*10|1,0,52,23
2*4*6*7*8*10|1,0,69,25
1*2*4*6*7*8*10|1,0,94,15
9*10|1,1,5,157
1*9*10|1,4,19,49
2*9*10|1,6,14,68
1*2*9*10|1,125,70,89
3*9*10|1,0,10,69
4*9*10|1,0,7,97
1*4*9*10|1,1,26,33
2*4*9*10|1,1,25,44
3*4*9*10|1,0,15,42
5*9*10|1,9,14,87
1*5*9*10|1,35,42,28
2*5*9*10|1,7,33,44
3*5*9*10|1,2,25,38
6*9*10|1,1,11,83
1*6*9*10|1,2,34,29
2*6*9*10|1,8,29,35
3*6*9*10|1,0,21,38
4*6*9*10|1,0,16,49
1*4*6*9*10|1,0,51,18
2*4*6*9*10|1,4,81,21
3*4*6*9*10|1,0,32,22
5*6*9*10|1,3,26,42
1*5*6*9*10|1,4,79,17
2*5*6*9*10|1,7,66,20
3*5*6*9*10|1,0,48,19
4*7*9*10|1,0,16,55
1*4*7*9*10|1,0,52,18
2*4*7*9*10|1,4,43,44
3*4*7*9*10|1,0,29,24
4*5*7*9*10|1,0,35,30
1*4*5*7*9*10|1,1,100,11
3*4*5*7*9*10|1,0,61,12
4*6*7*9*10|1,0,31,30
1*4*6*7*9*10|1,1,95,10
3*4*6*7*9*10|1,0,56,14
4*7*8*9*10|1,2,24,37
1*4*7*8*9*10|1,1,70,18
11|1,0,1,217
2*11|1,4,10,100
1*2*11|1,41,21,52
3*11|1,0,6,100
4*11|1,0,3,121
2*4*11|1,4,13,62
1*2*4*11|1,0,19,36
3*4*11|1,1,9,100
5*11|1,183,67,56
6*11|1,0,5,121
2*6*11|1,4,20,57
3*6*11|1,1,16,61
4*6*11|1,0,9,62
2*4*6*11|1,1,28,31
1*2*4*6*11|1,0,35,19
3*4*6*11|1,2,20,61
5*6*11|1,13,64,27
4*5*6*11|1,72,124,27
7*11|1,0,3,144
3*7*11|1,0,8,99
4*7*11|1,0,8,68
2*4*7*11|1,0,15,37
1*2*4*7*11|1,0,32,23
3*4*7*11|1,35,16,99
2*3*4*7*11|1,0,24,23
5*7*11|1,35,74,40
6*7*11|1,0,7,121
4*6*7*11|1,0,16,37
2*4*6*7*11|1,0,30,21
1*2*4*6*7*11|1,0,58,12
3*4*6*7*11|1,30,30,61
2*3*4*6*7*11|1,1,45,21
5*6*7*11|1,8,65,20
4*5*6*7*11|1,0,140,5
8*11|1,1,5,91
2*8*11|1,1,18,45
1*2*8*11|1,26,95,24
3*8*11|1,0,13,51
4*8*11|1,0,11,48
2*4*8*11|1,0,27,45
1*2*4*8*11|1,16,47,36
3*4*8*11|1,15,19,51
5*8*11|1,56,86,56
6*8*11|1,0,13,47
2*6*8*11|1,1,46,23
3*6*8*11|1,1,32,30
4*6*8*11|1,0,25,22
2*4*6*8*11|1,0,55,12
1*2*4*6*8*11|1,3,84,19
3*4*6*8*11|1,0,51,13
5*6*8*11|1,6,90,27
4*5*6*8*11|1,75,162,29
7*8*11|1,50,18,58
2*7*8*11|1,1,25,30
4*7*8*11|1,77,65,25
5*7*8*11|1,9,98,40
6*7*8*11|1,0,16,32
2*6*7*8*11|1,0,46,16
3*6*7*8*11|1,6,34,32
4*6*7*8*11|1,18,121,12
5*6*7*8*11|1,11,144,21
4*5*6*7*8*11|1,1,279,5
9*11|1,4,10,98
2*9*11|1,8,29,41
1*2*9*11|1,1,43,20
3*9*11|1,3,22,29
4*9*11|1,2,13,57
2*4*9*11|1,20,67,25
1*2*4*9*11|1,6,82,12
3*4*9*11|1,3,45,15
5*9*11|1,10,31,45
2*5*9*11|1,4,46,29
1*2*5*9*11|1,16,76,12
3*5*9*11|1,49,66,18
4*5*9*11|1,19,64,22
1*2*4*5*9*11|1,1,137,7
3*4*5*9*11|1,0,95,7
4*6*9*11|1,0,25,30
1*2*4*6*9*11|1,1,94,7
5*6*9*11|1,3,57,20
2*5*6*9*11|1,0,85,14
3*5*6*9*11|1,2,97,11
4*5*6*9*11|1,10,199,8
1*2*4*5*6*9*11|1,0,193,5
3*4*5*6*9*11|1,8,276,8
4*5*7*9*11|1,5,105,22
1*2*4*5*7*9*11|1,4,167,9
3*4*5*7*9*11|1,2,147,22
1*2*4*5*6*7*9*11|1,5,255,9
8*9*11|1,23,38,44
2*8*9*11|1,6,64,20
1*2*8*9*11|1,1,120,10
3*8*9*11|1,0,46,16
4*8*9*11|1,2,26,25
2*4*8*9*11|1,12,133,12
3*4*8*9*11|1,5,92,8
5*8*9*11|1,21,40,45
2*5*8*9*11|1,37,66,44
1*2*5*8*9*11|1,0,97,12
3*5*8*9*11|1,18,97,45
4*5*8*9*11|1,19,86,22
3*4*5*8*9*11|1,0,130,7
4*6*8*9*11|1,7,52,12
1*2*4*6*8*9*11|1,3,244,7
5*6*8*9*11|1,68,130,20
2*5*6*8*9*11|1,15,176,20
1*2*5*6*8*9*11|1,0,192,7
4*5*6*8*9*11|1,8,325,8
4*5*7*8*9*11|1,20,206,23
3*4*5*7*8*9*11|1,1,195,23
4*5*6*7*8*9*11|1,4,484,8
10*11|1,0,3,139
2*10*11|1,3,28,67
1*2*10*11|1,44,58,37
3*10*11|1,103,33,64
4*10*11|1,0,7,73
2*4*10*11|1,0,25,40
1*2*4*10*11|1,41,34,47
6*10*11|1,0,9,78
4*6*10*11|1,0,17,37
2*4*6*10*11|1,17,48,40
1*2*4*6*10*11|1,0,60,14
7*10*11|1,0,9,87
2*7*10*11|1,0,24,44
3*7*10*11|1,0,18,43
4*7*10*11|1,8,47,35
2*4*7*10*11|1,58,80,35
5*7*10*11|1,96,144,34
6*7*10*11|1,0,17,51
2*6*7*10*11|1,0,43,26
3*6*7*10*11|1,0,33,30
4*6*7*10*11|1,7,85,19
2*4*6*7*10*11|1,0,97,12
1*2*4*6*7*10*11|1,4,123,12
5*6*7*10*11|1,2,102,17
4*5*6*7*10*11|1,0,221,4
2*8*10*11|1,0,26,34
3*8*10*11|1,4,17,51
2*4*8*10*11|1,6,41,34
3*4*8*10*11|1,0,26,51
2*4*6*8*10*11|1,1,77,12
7*8*10*11|1,1,14,86
2*7*8*10*11|1,5,42,45
3*7*8*10*11|1,73,29,86
4*7*8*10*11|1,10,64,35
2*4*7*8*10*11|1,13,107,35
6*7*8*10*11|1,0,29,23
2*6*7*8*10*11|1,0,75,12
3*6*7*8*10*11|1,4,54,23
4*6*7*8*10*11|1,48,197,19
9*10*11|1,8,23,73
2*9*10*11|1,8,61,33
1*2*9*10*11|1,1,68,16
3*9*10*11|1,2,45,21
4*9*10*11|1,5,33,41
2*4*9*10*11|1,15,144,19
1*2*4*9*10*11|1,0,136,12
3*4*9*10*11|1,7,98,11
1*2*5*9*10*11|1,0,99,11
4*6*9*10*11|1,4,59,21
1*2*4*6*9*10*11|1,0,178,7
1*2*5*6*9*10*11|1,0,120,6
2*8*9*10*11|1,1,104,17
3*8*9*10*11|1,0,73,12
4*8*9*10*11|1,5,48,19
2*4*8*9*10*11|1,15,221,19
3*4*8*9*10*11|1,0,152,6
4*6*8*9*10*11|1,1,91,9
