node,intermediate_visits,in_degree,out_degree
|1,0,0,58
1*2*4*7*8|1,19,13,24
3*4*7*8|1,18,9,39
5*7*8|1,26,22,39
1*5*7*8|1,93,17,48
4*5*7*8|1,33,41,23
6*7*8|1,3,10,24
1*6*7*8|1,28,24,14
3*6*7*8|1,1,13,18
4*6*7*8|1,13,20,17
1*4*6*7*8|1,16,15,23
2*4*6*7*8|1,11,17,21
1*2*4*6*7*8|1,1,16,17
5*6*7*8|1,39,35,32
1*5*6*7*8|1,5,19,20
4*5*6*7*8|1,25,72,15
9|1,1,2,40
1*9|1,259,26,19
2*9|1,1,6,24
1*2*9|1,349,31,26
3*9|1,0,4,27
4*9|1,1,3,38
1*4*9|1,6,12,19
2*4*9|1,7,17,21
1*2*4*9|1,21,34,11
3*4*9|1,3,11,22
5*9|1,24,8,32
2*5*9|1,8,17,19
3*5*9|1,3,13,20
4*5*9|1,4,13,26
1*4*5*9|1,14,34,12
2*4*5*9|1,9,33,16
1*2*4*5*9|1,5,34,7
3*4*5*9|1,5,22,16
6*9|1,5,5,32
1*6*9|1,229,37,15
2*6*9|1,8,10,19
3*6*9|1,1,7,21
4*6*9|1,1,7,29
1*4*6*9|1,7,16,13
2*4*6*9|1,4,22,15
1*2*4*6*9|1,12,43,8
3*4*6*9|1,3,16,17
5*6*9|1,9,13,23
2*5*6*9|1,11,22,13
3*5*6*9|1,3,17,14
4*5*6*9|1,3,20,17
1*4*5*6*9|1,15,48,7
2*4*5*6*9|1,4,47,10
1*2*4*5*6*9|1,3,38,5
3*4*5*6*9|1,2,31,9
4*7*9|1,0,6,34
1*4*7*9|1,0,15,15
1*2*4*7*9|1,3,34,13
4*5*7*9|1,4,16,21
1*4*5*7*9|1,9,29,8
2*4*5*7*9|1,2,33,11
1*2*4*5*7*9|1,9,26,5
3*4*5*7*9|1,3,18,11
4*6*7*9|1,0,9,24
1*4*6*7*9|1,2,19,8
1*2*4*6*7*9|1,6,40,9
4*5*6*7*9|1,4,30,12
1*4*5*6*7*9|1,5,50,5
2*4*5*6*7*9|1,4,40,7
1*2*4*5*6*7*9|1,1,31,3
3*4*5*6*7*9|1,0,32,6
8*9|1,2,9,26
1*8*9|1,6,21,11
2*8*9|1,6,17,14
1*2*8*9|1,20,45,8
3*8*9|1,4,13,18
4*8*9|1,4,9,27
1*4*8*9|1,13,20,23
2*4*8*9|1,3,21,15
3*4*8*9|1,1,14,15
5*8*9|1,0,8,21
1*5*8*9|1,11,26,8
2*5*8*9|1,8,23,11
3*5*8*9|1,0,14,13
4*5*8*9|1,2,12,36
1*4*5*8*9|1,14,27,13
2*4*5*8*9|1,2,26,20
3*4*5*8*9|1,1,17,21
6*8*9|1,5,14,19
1*6*8*9|1,8,24,8
2*6*8*9|1,2,22,11
3*6*8*9|1,2,18,14
4*6*8*9|1,3,14,19
1*4*6*8*9|1,11,27,15
2*4*6*8*9|1,7,29,11
3*4*6*8*9|1,3,20,11
5*6*8*9|1,7,20,13
1*5*6*8*9|1,18,34,6
2*5*6*8*9|1,2,32,7
3*5*6*8*9|1,4,21,9
4*5*6*8*9|1,2,17,21
1*4*5*6*8*9|1,2,25,9
2*4*5*6*8*9|1,3,34,11
3*4*5*6*8*9|1,0,25,6
4*7*8*9|1,3,9,22
1*4*7*8*9|1,10,15,16
2*4*7*8*9|1,18,23,32
3*4*7*8*9|1,1,18,11
5*7*8*9|1,5,12,18
3*5*7*8*9|1,3,11,10
4*5*7*8*9|1,9,20,26
1*4*5*7*8*9|1,7,20,10
2*4*5*7*8*9|1,1,25,13
3*4*5*7*8*9|1,1,20,13
4*6*7*8*9|1,1,21,14
1*4*6*7*8*9|1,6,31,10
2*4*6*7*8*9|1,2,26,13
3*4*6*7*8*9|1,0,23,8
3*5*6*7*8*9|1,0,13,11
4*5*6*7*8*9|1,1,24,12
1*4*5*6*7*8*9|1,0,24,5
2*4*5*6*7*8*9|1,0,25,7
3*4*5*6*7*8*9|1,0,21,6
10|1,1,1,50
1*10|1,8,6,26
2*10|1,12,8,29
1*2*10|1,52,35,15
3*10|1,1,3,33
4*10|1,0,3,43
1*4*10|1,3,11,24
2*4*10|1,2,9,30
1*2*4*10|1,50,15,20
3*4*10|1,2,6,28
1*5*10|1,1,8,31
3*5*10|1,1,7,35
6*10|1,3,4,40
1*6*10|1,3,12,20
2*6*10|1,10,14,23
3*6*10|1,2,7,26
4*6*10|1,0,7,34
1*4*6*10|1,1,15,19
2*4*6*10|1,5,14,22
1*2*4*6*10|1,17,17,15
3*4*6*10|1,0,10,22
1*5*6*10|1,1,9,17
2*5*6*10|1,8,14,26
3*5*6*10|1,0,9,28
7*10|1,4,3,40
1*7*10|1,22,11,22
3*7*10|1,0,5,28
4*7*10|1,1,9,28
1*4*7*10|1,6,17,17
2*4*7*10|1,4,18,18
1*2*4*7*10|1,21,22,13
3*4*7*10|1,1,13,21
5*7*10|1,6,18,20
1*5*7*10|1,32,12,26
4*5*7*10|1,40,51,11
6*7*10|1,0,6,33
1*6*7*10|1,3,15,18
3*6*7*10|1,2,8,22
4*6*7*10|1,0,14,21
1*4*6*7*10|1,1,20,14
2*4*6*7*10|1,4,23,14
1*2*4*6*7*10|1,6,27,10
3*4*6*7*10|1,3,18,16
5*6*7*10|1,5,12,18
1*5*6*7*10|1,0,16,12
2*5*6*7*10|1,14,14,31
3*5*6*7*10|1,0,14,12
4*5*6*7*10|1,6,63,9
7*8*10|1,0,5,31
4*7*8*10|1,1,9,39
2*4*7*8*10|1,2,13,24
3*4*7*8*10|1,6,11,45
4*6*7*8*10|1,13,21,28
1*4*6*7*8*10|1,0,15,16
2*4*6*7*8*10|1,0,14,18
1*2*4*6*7*8*10|1,0,15,12
9*10|1,2,5,33
1*9*10|1,12,15,16
2*9*10|1,8,11,19
1*2*9*10|1,162,33,31
3*9*10|1,2,8,22
4*9*10|1,2,6,33
1*4*9*10|1,6,16,16
2*4*9*10|1,1,16,18
3*4*9*10|1,2,10,20
5*9*10|1,8,12,27
1*5*9*10|1,35,20,12
2*5*9*10|1,8,15,16
3*5*9*10|1,4,14,17
6*9*10|1,2,9,26
1*6*9*10|1,6,16,12
2*6*9*10|1,8,16,14
3*6*9*10|1,0,13,17
4*6*9*10|1,1,10,24
1*4*6*9*10|1,3,21,11
2*4*6*9*10|1,9,35,13
3*4*6*9*10|1,4,15,14
5*6*9*10|1,7,14,19
1*5*6*9*10|1,7,22,10
2*5*6*9*10|1,6,22,11
3*5*6*9*10|1,1,18,12
4*7*9*10|1,0,11,26
1*4*7*9*10|1,1,23,10
2*4*7*9*10|1,3,18,24
3*4*7*9*10|1,1,14,15
4*5*7*9*10|1,12,16,21
1*4*5*7*9*10|1,3,23,8
3*4*5*7*9*10|1,5,14,10
4*6*7*9*10|1,0,15,19
1*4*6*7*9*10|1,1,27,7
3*4*6*7*9*10|1,0,17,11
4*7*8*9*10|1,4,10,26
1*4*7*8*9*10|1,1,15,11
11|1,0,1,44
2*11|1,15,10,26
1*2*11|1,33,14,17
3*11|1,0,6,28
4*11|1,1,3,38
2*4*11|1,13,11,26
1*2*4*11|1,40,13,18
3*4*11|1,12,8,42
5*11|1,162,64,15
6*11|1,0,5,34
2*6*11|1,9,17,22
3*6*11|1,5,14,22
4*6*11|1,2,8,29
2*4*6*11|1,6,17,20
1*2*4*6*11|1,2,14,13
3*4*6*11|1,6,14,33
5*6*11|1,22,46,13
4*5*6*11|1,84,71,18
7*11|1,4,3,37
3*7*11|1,0,7,40
4*7*11|1,1,7,28
2*4*7*11|1,0,10,20
1*2*4*7*11|1,2,14,15
3*4*7*11|1,36,11,57
2*3*4*7*11|1,0,10,15
5*7*11|1,39,60,13
6*7*11|1,2,6,49
4*6*7*11|1,1,11,20
2*4*6*7*11|1,1,14,15
1*2*4*6*7*11|1,1,19,11
3*4*6*7*11|1,33,14,42
2*3*4*6*7*11|1,1,10,16
5*6*7*11|1,9,36,11
4*5*6*7*11|1,1,54,5
8*11|1,3,5,30
2*8*11|1,4,16,19
1*2*8*11|1,49,42,10
3*8*11|1,1,12,24
4*8*11|1,1,9,24
2*4*8*11|1,8,17,28
1*2*4*8*11|1,41,19,23
3*4*8*11|1,12,14,32
5*8*11|1,81,60,22
6*8*11|1,2,11,23
2*6*8*11|1,5,26,15
3*6*8*11|1,3,22,17
4*6*8*11|1,2,15,16
2*4*6*8*11|1,1,23,11
1*2*4*6*8*11|1,5,20,16
3*4*6*8*11|1,0,21,11
5*6*8*11|1,11,43,17
4*5*6*8*11|1,78,52,21
7*8*11|1,51,16,23
2*7*8*11|1,2,16,15
4*7*8*11|1,78,42,15
5*7*8*11|1,23,49,19
6*7*8*11|1,5,11,17
2*6*7*8*11|1,0,16,11
3*6*7*8*11|1,15,18,19
4*6*7*8*11|1,22,56,8
5*6*7*8*11|1,10,48,14
4*5*6*7*8*11|1,0,52,5
9*11|1,4,10,26
2*9*11|1,7,23,16
1*2*9*11|1,7,14,10
3*9*11|1,6,18,15
4*9*11|1,3,11,25
2*4*9*11|1,17,38,13
1*2*4*9*11|1,8,33,8
3*4*9*11|1,9,28,11
5*9*11|1,57,27,20
2*5*9*11|1,5,25,15
1*2*5*9*11|1,30,19,8
3*5*9*11|1,2,35,8
4*5*9*11|1,26,43,15
1*2*4*5*9*11|1,9,32,6
3*4*5*9*11|1,1,38,6
4*6*9*11|1,1,15,19
1*2*4*6*9*11|1,2,29,6
5*6*9*11|1,25,34,12
2*5*6*9*11|1,9,31,10
3*5*6*9*11|1,2,35,7
4*5*6*9*11|1,11,81,7
1*2*4*5*6*9*11|1,0,31,4
3*4*5*6*9*11|1,5,55,7
4*5*7*9*11|1,16,40,20
1*2*4*5*7*9*11|1,10,19,8
3*4*5*7*9*11|1,9,24,20
1*2*4*5*6*7*9*11|1,7,18,9
8*9*11|1,27,30,19
2*8*9*11|1,11,33,10
1*2*8*9*11|1,3,29,7
3*8*9*11|1,3,30,11
4*8*9*11|1,13,17,17
2*4*8*9*11|1,14,52,10
3*4*8*9*11|1,4,39,7
5*8*9*11|1,44,23,27
2*5*8*9*11|1,57,24,30
1*2*5*8*9*11|1,12,15,10
3*5*8*9*11|1,52,28,31
4*5*8*9*11|1,16,36,17
3*4*5*8*9*11|1,0,31,7
4*6*8*9*11|1,9,24,12
1*2*4*6*8*9*11|1,2,26,7
5*6*8*9*11|1,73,42,14
2*5*6*8*9*11|1,16,25,16
1*2*5*6*8*9*11|1,0,11,7
4*5*6*8*9*11|1,6,69,7
4*5*7*8*9*11|1,27,33,20
3*4*5*7*8*9*11|1,1,17,17
4*5*6*7*8*9*11|1,4,48,8
10*11|1,0,3,34
2*10*11|1,9,23,21
1*2*10*11|1,62,25,14
3*10*11|1,78,28,21
4*10*11|1,1,6,28
2*4*10*11|1,5,15,18
1*2*4*10*11|1,85,16,28
6*10*11|1,1,8,29
4*6*10*11|1,2,11,21
2*4*6*10*11|1,28,17,25
1*2*4*6*10*11|1,5,16,10
7*10*11|1,3,8,26
2*7*10*11|1,2,15,15
3*7*10*11|1,2,13,19
4*7*10*11|1,9,33,16
2*4*7*10*11|1,75,37,19
5*7*10*11|1,57,60,10
6*7*10*11|1,4,12,21
2*6*7*10*11|1,5,16,14
3*6*7*10*11|1,1,17,16
4*6*7*10*11|1,13,41,12
2*4*6*7*10*11|1,0,31,9
1*2*4*6*7*10*11|1,5,25,10
5*6*7*10*11|1,8,39,9
4*5*6*7*10*11|1,1,44,4
2*8*10*11|1,7,14,15
3*8*10*11|1,4,12,31
2*4*8*10*11|1,9,14,21
3*4*8*10*11|1,1,10,40
2*4*6*8*10*11|1,1,14,11
7*8*10*11|1,5,9,38
2*7*8*10*11|1,7,16,20
3*7*8*10*11|1,77,14,43
4*7*8*10*11|1,17,25,22
2*4*7*8*10*11|1,28,27,24
6*7*8*10*11|1,0,14,13
2*6*7*8*10*11|1,0,16,8
3*6*7*8*10*11|1,4,14,14
4*6*7*8*10*11|1,29,52,16
9*10*11|1,15,19,22
2*9*10*11|1,10,30,12
1*2*9*10*11|1,7,17,8
3*9*10*11|1,2,29,11
4*9*10*11|1,16,23,19
2*4*9*10*11|1,18,56,10
1*2*4*9*10*11|1,7,32,8
3*4*9*10*11|1,9,41,8
1*2*5*9*10*11|1,2,12,7
4*6*9*10*11|1,12,26,14
1*2*4*6*9*10*11|1,1,24,6
1*2*5*6*9*10*11|1,0,9,5
2*8*9*10*11|1,4,30,8
3*8*9*10*11|1,4,22,8
4*8*9*10*11|1,8,21,13
2*4*8*9*10*11|1,12,42,14
3*4*8*9*10*11|1,1,31,5
4*6*8*9*10*11|1,3,21,9
